application/json,application,json,,http://www.ietf.org/rfc/rfc4627.txt,False
application/kpml-request+xml,application,kpml-request+xml,,http://www.rfc-editor.org/rfc/rfc4730.txt,False
application/kpml-response+xml,application,kpml-response+xml,,http://www.rfc-editor.org/rfc/rfc4730.txt,False
application/lost+xml,application,lost+xml,,http://www.rfc-editor.org/rfc/rfc5222.txt,False
application/mac-binhex40,application,mac-binhex40,http://www.iana.org/assignments/media-types/application/mac-binhex40,,False
application/macwriteii,application,macwriteii,http://www.iana.org/assignments/media-types/application/macwriteii,,False
application/marc,application,marc,,http://www.rfc-editor.org/rfc/rfc2220.txt,False
application/mathematica,application,mathematica,http://www.iana.org/assignments/media-types/application/mathematica,,False
application/mbms-associated-procedure-description+xml,application,mbms-associated-procedure-description+xml,http://www.iana.org/assignments/media-types/application/mbms-associated-procedure-description+xml,,False
application/mbms-deregister+xml,application,mbms-deregister+xml,http://www.iana.org/assignments/media-types/application/mbms-deregister+xml,,False
application/mbms-envelope+xml,application,mbms-envelope+xml,http://www.iana.org/assignments/media-types/application/mbms-envelope+xml,,False
application/mbms-msk-response+xml,application,mbms-msk-response+xml,http://www.iana.org/assignments/media-types/application/mbms-msk-response+xml,,False
application/mbms-msk+xml,application,mbms-msk+xml,http://www.iana.org/assignments/media-types/application/mbms-msk+xml,,False
application/mbms-protection-description+xml,application,mbms-protection-description+xml,http://www.iana.org/assignments/media-types/application/mbms-protection-description+xml,,False
application/mbms-reception-report+xml,application,mbms-reception-report+xml,http://www.iana.org/assignments/media-types/application/mbms-reception-report+xml,,False
application/mbms-register-response+xml,application,mbms-register-response+xml,http://www.iana.org/assignments/media-types/application/mbms-register-response+xml,,False
application/mbms-register+xml,application,mbms-register+xml,http://www.iana.org/assignments/media-types/application/mbms-register+xml,,False
application/mbms-user-service-description+xml,application,mbms-user-service-description+xml,http://www.iana.org/assignments/media-types/application/mbms-user-service-description+xml,,False
application/mbox,application,mbox,,http://www.rfc-editor.org/rfc/rfc4155.txt,False
application/media_control+xml,application,media_control+xml,,http://www.rfc-editor.org/rfc/rfc5168.txt,False
application/mediaservercontrol+xml,application,mediaservercontrol+xml,,http://www.rfc-editor.org/rfc/rfc5022.txt,False
application/mikey,application,mikey,,http://www.rfc-editor.org/rfc/rfc3830.txt,False
application/moss-keys,application,moss-keys,,http://www.rfc-editor.org/rfc/rfc1848.txt,False
application/moss-signature,application,moss-signature,,http://www.rfc-editor.org/rfc/rfc1848.txt,False
application/mosskey-data,application,mosskey-data,,http://www.rfc-editor.org/rfc/rfc1848.txt,False
application/mosskey-request,application,mosskey-request,,http://www.rfc-editor.org/rfc/rfc1848.txt,False
application/mp21,application,mp21,http://www.iana.orghttp://standards.iso.org/ittf/PubliclyAvailableStandards/c050551_ISOIEC_21009_2005_Amd_2008_Annex_D.pdf,,False
application/mpeg4-generic,application,mpeg4-generic,,http://www.rfc-editor.org/rfc/rfc3640.txt,False
application/mpeg4-iod,application,mpeg4-iod,,http://www.rfc-editor.org/rfc/rfc4337.txt,False
application/mpeg4-iod-xmt,application,mpeg4-iod-xmt,,http://www.rfc-editor.org/rfc/rfc4337.txt,False
application/mp4,application,mp4,,http://www.rfc-editor.org/rfc/rfc4337.txt,False
application/msword,application,msword,http://www.iana.org/assignments/media-types/application/msword,,False
application/mxf,application,mxf,,http://www.ietf.org/rfc/rfc4539.txt,False
application/nasdata,application,nasdata,,http://www.ietf.org/rfc/rfc4707.txt,False
application/news-checkgroups,application,news-checkgroups,,http://tools.ietf.org/html/draft-ietf-usefor-usepro,False
application/news-groupinfo,application,news-groupinfo,,http://tools.ietf.org/html/draft-ietf-usefor-usepro,False
application/news-transmission,application,news-transmission,,http://tools.ietf.org/html/draft-ietf-usefor-usepro,False
application/nss,application,nss,http://www.iana.org/assignments/media-types/application/nss,,False
application/ocsp-request,application,ocsp-request,,http://www.rfc-editor.org/rfc/rfc2560.txt,False
application/ocsp-response,application,ocsp-response,,http://www.rfc-editor.org/rfc/rfc2560.txt,False
application/octet-stream,application,octet-stream,,http://www.rfc-editor.org/rfc/rfc2045.txt,False
application/oda,application,oda,,http://www.rfc-editor.org/rfc/rfc2045.txt,False
application/oebps-package+xml,application,oebps-package+xml,,http://www.ietf.org/rfc/rfc4839.txt,False
application/ogg,application,ogg,,http://www.rfc-editor.org/rfc/rfc5334.txt,False
application/parityfec,application,parityfec,,http://www.rfc-editor.org/rfc/rfc5109.txt,False
application/patch-ops-error+xml,application,patch-ops-error+xml,,http://www.rfc-editor.org/rfc/rfc5261.txt,False
application/pdf,application,pdf,,http://www.rfc-editor.org/rfc/rfc3778.txt,False
application/pgp-encrypted,application,pgp-encrypted,,http://www.rfc-editor.org/rfc/rfc3156.txt,False
application/pgp-keys,application,pgp-keys,,http://www.rfc-editor.org/rfc/rfc3156.txt,False
application/pgp-signature,application,pgp-signature,,http://www.rfc-editor.org/rfc/rfc3156.txt,False
application/pidf+xml,application,pidf+xml,http://www.iana.orghttp://www.iana.org/assignments/media-types/application/pidfxml,http://www.rfc-editor.org/rfc/rfc3863.txt,False
application/pidf-diff+xml,application,pidf-diff+xml,,http://www.rfc-editor.org/rfc/rfc5262.txt,False
application/pkcs10,application,pkcs10,,http://www.rfc-editor.org/rfc/rfc2311.txt,False
application/pkcs7-mime,application,pkcs7-mime,,http://tools.ietf.org/html/draft-ietf-smime-3851bis,False
application/pkcs7-signature,application,pkcs7-signature,,http://tools.ietf.org/html/draft-ietf-smime-3851bis,False
application/pkix-cert,application,pkix-cert,,http://www.rfc-editor.org/rfc/rfc2585.txt,False
application/pkixcmp,application,pkixcmp,,http://www.rfc-editor.org/rfc/rfc2510.txt,False
application/pkix-crl,application,pkix-crl,,http://www.rfc-editor.org/rfc/rfc2585.txt,False
application/pkix-pkipath,application,pkix-pkipath,,http://www.rfc-editor.org/rfc/rfc4366.txt,False
application/pls+xml,application,pls+xml,,http://www.rfc-editor.org/rfc/rfc4267.txt,False
application/poc-settings+xml,application,poc-settings+xml,,http://www.ietf.org/rfc/rfc4354.txt,False
application/postscript,application,postscript,,http://www.rfc-editor.org/rfc/rfc2045.txt,False
application/prs.alvestrand.titrax-sheet,application,prs.alvestrand.titrax-sheet,http://www.iana.org/assignments/media-types/application/prs.alvestrand.titrax-sheet,,False
application/prs.cww,application,prs.cww,http://www.iana.org/assignments/media-types/application/prs.cww,,False
application/prs.nprend,application,prs.nprend,http://www.iana.org/assignments/media-types/application/prs.nprend,,False
application/prs.plucker,application,prs.plucker,http://www.iana.org/assignments/media-types/application/prs.plucker,,False
application/rdf+xml,application,rdf+xml,,http://www.ietf.org/rfc/rfc3870.txt,False
application/qsig,application,qsig,,http://www.ietf.org/rfc/rfc3204.txt,False
application/reginfo+xml,application,reginfo+xml,,http://www.rfc-editor.org/rfc/rfc3680.txt,False
application/relax-ng-compact-syntax,application,relax-ng-compact-syntax,http://www.iana.org/assignments/media-types/application/relax-ng-compact-syntax,,False
application/remote-printing,application,remote-printing,http://www.iana.org/assignments/media-types/application/remote-printing,http://www.rfc-editor.org/rfc/rfc1486.txt,False
application/resource-lists-diff+xml,application,resource-lists-diff+xml,,http://www.ietf.org/rfc/rfc5362.txt,False
application/resource-lists+xml,application,resource-lists+xml,,http://www.rfc-editor.org/rfc/rfc4826.txt,False
application/riscos,application,riscos,http://www.iana.org/assignments/media-types/application/riscos,,False
application/rlmi+xml,application,rlmi+xml,,http://www.ietf.org/rfc/rfc4662.txt,False
application/rls-services+xml,application,rls-services+xml,,http://www.rfc-editor.org/rfc/rfc4826.txt,False
